prova,marca,nom,any,lloc,data,vent,manual,pc
3x600,5:42.16,NIL TORRES,2014,Castellar del Vallès,2025-04-26,,0,0
3x600,5:42.16,FERRAN SANJUAN,2015,Castellar del Vallès,2025-04-26,,0,0
3x600,5:42.16,TEO POU,2015,Castellar del Vallès,2025-04-26,,0,0
3x600,5:55.31,HUGO DIAZ,,Tarragona,2023-04-15,,0,0
3x600,5:55.31,KILIAN BORREDA,,Tarragona,2023-04-15,,0,0
3x600,5:55.31,ASTON MATE,,Tarragona,2023-04-15,,0,0
3x600,5:55.34,HUGO DIAZ,,El Prat,2023-05-20,,0,0
3x600,5:55.34,HERNAN FERRAN,,El Prat,2023-05-20,,0,0
3x600,5:55.34,ALEIX GOMEZ,,El Prat,2023-05-20,,0,0
3x600,5:55.79,HUGO DIAZ,,Tarragona,2022-04-09,,0,0
3x600,5:55.79,MARÇAL SINFREU,,Tarragona,2022-04-09,,0,0
3x600,5:55.79,NIL PAMIES,,Tarragona,2022-04-09,,0,0
3x600,5:56.86,KILIAN BORREDA,,Igualada,2024-04-13,,0,0
3x600,5:56.86,POL DIAZ,,Igualada,2024-04-13,,0,0
3x600,5:56.86,GERARD LOPEZ,,Igualada,2024-04-13,,0,0
3x600,5:59.36,NIL TORRES,2014,Igualada,2025-04-05,,0,0
3x600,5:59.36,FERRAN SANJUAN,2015,Igualada,2025-04-05,,0,0
3x600,5:59.36,POL DIAZ,2014,Igualada,2025-04-05,,0,0
3x600,5:59.40,MARIA FERRAN JIMENEZ,,El Prat,2022-05-21,,0,0
3x600,5:59.40,ADA NIN NAVAS,,El Prat,2022-05-21,,0,0
3x600,5:59.40,LARA GARCIA MUR,,El Prat,2022-05-21,,0,0
3x600,6:01.96,KILIAN BORREDA CERVELLO,,Arbeca,2024-04-06,,0,0
3x600,6:01.96,POL DIAZ CRISTINO,,Arbeca,2024-04-06,,0,0
3x600,6:01.96,NIL TORRES PRATS,,Arbeca,2024-04-06,,0,0
3x600,6:02.36,DUINA BORREDA,,Tarragona,2020-04-10,,0,0
3x600,6:02.36,NORA MONTOLIO,,Tarragona,2020-04-10,,0,0
3x600,6:02.36,DIANA GARCIA,,Tarragona,2020-04-10,,0,0
3x600,6:02.51,DUINA BORREDA,,Granollers,2020-10-10,,0,0
3x600,6:02.51,NORA MONTOLIO,,Granollers,2020-10-10,,0,0
3x600,6:02.51,CLARA ORTIZ DE LANDAZURI,,Granollers,2020-10-10,,0,0
3x600,6:07.21,HOUDAIFA MAJLUF,2011,El Prat,2022-05-21,,0,0
3x600,6:07.21,MARC MARTI FERNANDEZ,,El Prat,2022-05-21,,0,0
3x600,6:07.21,MARÇAL SINFREU NIUBO,,El Prat,2022-05-21,,0,0
3x600,6:07.71,PAU CRESPO,,Ascó,2019-03-30,,0,0
3x600,6:07.71,ERIC DE LA ROSA,,Ascó,2019-03-30,,0,0
3x600,6:07.71,VICTOR JIMENEZ,,Ascó,2019-03-30,,0,0
3x600,6:09.73,BERTA BARBER,,Igualada,2024-04-13,,0,0
3x600,6:09.73,ANNA PEREZ,,Igualada,2024-04-13,,0,0
3x600,6:09.73,CELIA VEGA,,Igualada,2024-04-13,,0,0
3x600,6:12.69,JOAN MARTORELL,,Vic,2018-04-07,,0,0
3x600,6:12.69,J.SORIANO,,Vic,2018-04-07,,0,0
3x600,6:12.69,LLUC SUBIROS,,Vic,2018-04-07,,0,0
3x600,6:14.13,JOSE ANGEL MASIA,2015,Igualada,2025-04-05,,0,0
3x600,6:14.13,GERARD LOPEZ,2014,Igualada,2025-04-05,,0,0
3x600,6:14.13,TEO POU,2015,Igualada,2025-04-05,,0,0
3x600,6:14.6,LAURINE MARIMON,,El Prat,2015-05-16,,1,0
3x600,6:14.6,NATALIA SANCHEZ,,El Prat,2015-05-16,,1,0
3x600,6:14.6,LAIA ALDAVE,,El Prat,2015-05-16,,1,0
3x600,6:15.27,ERIC DE LA ROSA,,Granollers,2020-10-10,,0,0
3x600,6:15.27,PAU ESTEVE,,Granollers,2020-10-10,,0,0
3x600,6:15.27,QUIMEY IZAGA,,Granollers,2020-10-10,,0,0
3x600,6:16.26,NOEMI GONZALEZ,,Ascó,2019-03-30,,0,0
3x600,6:16.26,ANDREA MOLINA,,Ascó,2019-03-30,,0,0
3x600,6:16.26,CLARA ORTIZ DE LANDAZURI,,Ascó,2019-03-30,,0,0
3x600,6:18.50,UNAI ORTIZ DE LANDAZURI,,El Prat,2017-05-13,,0,0
3x600,6:18.50,JOAN SINFREU,,El Prat,2017-05-13,,0,0
3x600,6:18.50,LLUC SUBIROS,,El Prat,2017-05-13,,0,0
3x600,6:19.93,JULIA AMOROS,,El Prat,2023-05-20,,0,0
