marca,nom,any,lloc,data,vent,categoria,gender
2'02''38,Hugo Berenguel,2002.0,Camp Clar,14/02/2015,,,M
,Mario Sánchez,2002.0,Camp Clar,14/02/2015,,,M
,Bernat Verdú,2002.0,Camp Clar,14/02/2015,,,M
02:07.19,Gerard Parera Bodi,2000.0,Sabadell,23-02-2013,,,M
02:07.19,Pau Nolla Ferré,2001.0,Sabadell,23-02-2013,,,M
02:07.19,Josep Milla Guasch,2000.0,Sabadell,23-02-2013,,,M
02:07.19,Daniel Piera Martinez,2000.0,Sabadell,23-02-2013,,,M
02:00.5,Nerea Lago Garbajosa,2000.0,Mataró,20-04-2013,,,F
2'02''8,M. VAZQUEZ,,Camp Clar,11/04/2015,,,F
2'02''8,L. SOLE,,Camp Clar,11/04/2015,,,F
2'02''8,C. BERENGUEL,,Camp Clar,11/04/2015,,,F
2'02''8,B. SANCHEZ,,Camp Clar,11/04/2015,,,F
2'04''91,Carla Berenguel,2002.0,Sabadell,21/02/2015,,,F
,Laura Lian Solé,2001.0,,,,,F
,Inés Delgado,2002.0,,,,,F
,Gemma Parera,2002.0,,,,,F
2'05''92,Carla Berenguel,2002.0,Sabadell,15/02/2014,,,F
,Sira Bo,2001.0,,,,,F
,Inés Delgado,2002.0,,,,,F
,Mar Vázquez,2002.0,,,,,F
02:08.75,Marta Targa Garcia,2000.0,Cambrils,02/02/2013,,,F
02:08.75,Mireia López Urbano,2000.0,Cambrils,02/02/2013,,,F
02:08.75,Júlia Caixal i Salvador,2000.0,Cambrils,02/02/2013,,,F
02:08.75,Nerea Lago Garbajosa,2000.0,Cambrils,02/02/2013,,,F
2'15”17,Alicia Vazquez Domingo,1999.0,Cambrils,21/01/2012,,,F
2'15”17,Mireia López Urbano,2000.0,Cambrils,21/01/2012,,,F
2'15”17,Marta Targa Garcia,2000.0,Cambrils,21/01/2012,,,F
2'15”17,Carla Morera Lizano,1999.0,Cambrils,21/01/2012,,,F
02:15.2,Júlia Caixal i Salvador,2000.0,Mataró,20-04-2013,,,F
02:15.2,ANA DELGADO PIZZO,2000.0,Mataró,20-04-2013,,,F
02:15.2,Paula Planas Barriach,2000.0,Mataró,20-04-2013,,,F
02:15.2,Mia Climent Cerdà,2001.0,Mataró,20-04-2013,,,F
2'16''2,MARIA FALCO,,Camp Clar,11/04/2015,,,F
2'16''2,I. DELGADO,,Camp Clar,11/04/2015,,,F
2'16''2,M. BURJALES,,Camp Clar,11/04/2015,,,F
2'16''2,B. PARDINES,,Camp Clar,11/04/2015,,,F
2'17''76,Carla Berenguel,2002.0,Sabadell,11/02/2014,,,F
,Mario Falcó,2001.0,,,,,F
,Paula Rovira,2002.0,,,,,F
,Berta Pardines,2002.0,,,,,F
