prova,marca,nom,any,lloc,data,vent,manual,pc
4x300_S16,3:13.4,Sira BO,,Camp Clar,2015-11-04,,1,0
4x300_S16,3:13.4,Paula Rovira,,Camp Clar,2015-11-04,,1,0
4x300_S16,3:13.4,Maria Buscail,,Camp Clar,2015-11-04,,1,0
4x300_S16,3:13.4,Mireia Lopez,,Camp Clar,2015-11-04,,1,0
4x300_S16,3:23.1,Seida Bernal Manero,1998,Mataró,2013-04-20,,1,0
4x300_S16,3:23.1,Andrea López Urbano,1998,Mataró,2013-04-20,,1,0
4x300_S16,3:23.1,Helena Montserrat Solé,1999,Mataró,2013-04-20,,1,0
4x300_S16,3:23.1,Alicia Vazquez Domingo,1999,Mataró,2013-04-20,,1,0
4x300_S16,3:54.43,Helena Montserrat,1999,El Prat,2014-11-05,,0,0
4x300_S16,3:54.43,Susana Saiz,1999,El Prat,2014-11-05,,0,0
4x300_S16,3:54.43,Carla Morera,1999,El Prat,2014-11-05,,0,0
4x300_S16,3:54.43,Alba Mila,1999,El Prat,2014-11-05,,0,0
