marca,nom,any,lloc,data,vent,categoria,gender
46''9,A.RAFI,2002.0,Camp Clar,11/04/2015,,,M
46''9,E. JOSE,2002.0,Camp Clar,11/04/2015,,,M
46''9,D. BONDIA,2002.0,Camp Clar,11/04/2015,,,M
46''9,A. GRAN,2002.0,Camp Clar,11/04/2015,,,M
"48""4",Gerard Parera Bodi,2000.0,Mataró,20/04/2013,,,M
,Pau Nolla Ferré,,Mataró,20/04/2013,,,M
,Josep Milla Guasch,,Mataró,20/04/2013,,,M
,Daniel Piera Martinez,,Mataró,20/04/2013,,,M
43''5,M. VAZQUEZ,,Camp Clar,11/04/2015,,,F
43''5,L. SOLE,,Camp Clar,11/04/2015,,,F
43''5,C. BERENGUEL,,Camp Clar,11/04/2015,,,F
43''5,B. SANCHEZ,,Camp Clar,11/04/2015,,,F
44.9,Marta Targa Garcia,2000.0,Mataró,20-04-2013,,,F
,Montserrat Montañes Arbo,,Mataró,20-04-2013,,,F
,Sira Bo Calaf,,Mataró,20-04-2013,,,F
,Mireia López Urbano,,Mataró,20-04-2013,,,F
45''96,Marina Burjalès,,Vic,18/04/2014,,,F
,Laura Solé,,,,,,F
,Carla Berenguel,,,,,,F
,Berta Sánchez,,,,,,F
"46""80",Alicia Vazquez Domingo,1999.0,Vilanova i la Geltrú,14-04-2012,,,F
,Marta Targa Garcia,,Vilanova i la Geltrú,14-04-2012,,,F
,Mireia López Urbano,,Vilanova i la Geltrú,14-04-2012,,,F
,Helena Montserrat Solé,,Vilanova i la Geltrú,14-04-2012,,,F
48.49,ANA DELGADO PIZZO,2000.0,Cambrils,17-11-2012,,,F
,Paula Planas Barriach,,Cambrils,17-11-2012,,,F
,Marta Targa Garcia,,Cambrils,17-11-2012,,,F
,Mireia López Urbano,,Cambrils,17-11-2012,,,F
48''4,M.FALCO,,Camp Clar,11/04/2015,,,F
48''4,I. DELGADO,,Camp Clar,11/04/2015,,,F
48''4,M. BURJALES,,Camp Clar,11/04/2015,,,F
48''4,B. PARDINES,,Camp Clar,11/04/2015,,,F
48.7,Júlia Caixal i Salvador,2000.0,Mataró,20-04-2013,,,F
49.1,Berta Pardines,2002.0,Prat de Llobregat,05/11/2015,,,F
,Sira Bo Calaf,,Prat de Llobregat,05/11/2015,,,F
,Maria Falcó,,Prat de Llobregat,05/11/2015,,,F
,Berta Sánchez,,Prat de Llobregat,05/11/2015,,,F
49.1,ANA DELGADO PIZZO,2000.0,Prat de Llobregat,05/11/2013,,,F
,Sira Bo Calaf,,Prat de Llobregat,05/11/2013,,,F
,Nina Macias Alcañiz,,Prat de Llobregat,05/11/2013,,,F
,Paula Planas Barriach,,Prat de Llobregat,05/11/2013,,,F
"50""86",Helena Montserrat Solé,1999.0,Prat de Llobregat,05/12/2012,,,F
,Carla Morera Lizano,,Prat de Llobregat,05/12/2012,,,F
,Marta Aluja Olesti,,Prat de Llobregat,05/12/2012,,,F
,Ingrid Iborra Almeida,,Prat de Llobregat,05/12/2012,,,F
"52""05",MIREIA LOPEZ,2000.0,Camp Clar,19/11/2011,,,F
,ALICIA VÁZQUEZ,,Camp Clar,19/11/2011,,,F
,Nerea Lago Garbajosa,,Camp Clar,19/11/2011,,,F
,MARTA TARGa,,Camp Clar,19/11/2011,,,F
