marca,nom,any,lloc,data,vent,categoria,gender
"11""94",Andreu Aluja Olesti,1998.0,"Tarragona, Camp Clar",23-12-2012,,,M
12''0,Josep Milla Guasch,2000.0,Cambrils,20/12/2014,,,M
"12""97",Josep Milla Guasch,2000.0,Cambrils,22-12-2013,,,M
"12""99",Gerard Parera Bodi,2000.0,Cambrils,22-12-2013,,,M
"13""80",Yann-Luca Olivier Texier,1999.0,"Tarragona, Camp Clar",23-12-2012,,,M
"14""21",ALBERTO LUNA LOZANO,1998.0,Cambrils,17-11-2012,,,M
"14""78",Gerard Ochoa Asens,2000.0,Cambrils,22-12-2013,,,M
"10""98",JÚLIA SABATER FEIJÓO,1998.0,Valls,16-02-2013,??,,F
10''9,Nerea Lago Garbajosa,2000.0,Valls,07/02/2015,1.8,,F
10''9,Sira Bo Calaf,2001.0,Valls,07/02/2015,18.0,,F
"11""35",MONTSE GUINOVART PEDESCOLL,1994.0,Vilafranca,01/03/2009,PC,,F
"11""45",MARIA ALVAREZ AUNOS,1996.0,Cambrils,29/01/2011,0.0,,F
"11""57",Nerea Lago Garbajosa,2000.0,Camp Clar,23-11-2013,(+1.7),,F
11''75,Sira Bo Calaf,2001.0,Sabadell,31/01/2015,PC,,F
"12""44",Andrea López Urbano,1998.0,"Tarragona, Camp Clar",22-12-2012,-0.7,,F
"12""70",Seida Bernal Manero,1998.0,"Tarragona, Camp Clar",22-12-2012,,,F
"14""52",Laura Solé Català,1998.0,"Tarragona, Camp Clar",22-12-2012,-0.2,,F
