prova,marca,nom,any,lloc,data,vent,manual,pc
60_mt_S16_M,8.31,Marc Jose Diaz,1993,Vilafranca,2008-01-23,,0,0
60_mt_S16_M,10.40,Javier Almale,2000,Sabadell,2015-03-09,,0,0
60_mt_S16_M,10.4,Gerard Parera Bodi,2000,Cambrils,2014-12-20,,1,0
60_mt_S16_M,10.6,Javier Almale,2000,Cambrils,2014-12-20,,1,0
60_mt_S16_M,10.82,Adolf Milla Guasch,1998,Tarragona,2012-12-23,,0,0
60_mt_S16_M,11.94,Andreu Aluja Olesti,1998,Tarragona,2012-12-23,,0,0
60_mt_S16_M,12.0,Josep Milla Guasch,2000,Cambrils,2014-12-20,,1,0
60_mt_S16_M,12.97,Josep Milla Guasch,2000,Cambrils,2013-12-22,,0,0
60_mt_S16_M,12.99,Gerard Parera Bodi,2000,Cambrils,2013-12-22,,0,0
60_mt_S16_M,13.80,Yann-Luca Olivier Texier,1999,Tarragona,2012-12-23,,0,0
60_mt_S16_M,14.21,Alberto Luna Lozano,1998,Cambrils,2012-11-17,,0,0
60_mt_S16_M,14.78,Gerard Ochoa Asens,2000,Cambrils,2013-12-22,,0,0
