marca,nom,any,lloc,data,vent,categoria,prova,gender
1922,BEATRIU MALLA FERRER,1990,Vilafranca,13/02/2005,,Cadet Fem,Tetratló,F
1902,NÚRIA TORRADEMÉ PASCUAL,1994,Vilafranca,28/02/2009,,Cadet Fem,Tetratló,F
1790,MONTSE GUINOVART PEDESCOLL,1994,Vilafranca,28/02/2009,,Cadet Fem,Tetratló,F
1694,Marta Targa Garcia,2000,Tarragona,23-12-2012,,Infantil Fem,Tetratló,F
1645,Mar Vázquez,2002,Cambrils,20/12/2014,,Infantil Fem,Tetratló,F
1626,Berta Sánchez,2002,Sabadell,07/03/2015,,Infantil Fem,Tetratló,F
1562,Mireia López Urbano,2000,Sabadell,03/02/2013,,Infantil Fem,Tetratló,F
1471,Carla Berenguel,2002,Cambrils,20/12/2014,,Infantil Fem,Tetratló,F
1262,Montserrat Montañes Arbo,2001,Tarragona,23-12-2012,,Infantil Fem,Tetratló,F
1239*,Inés Delgado,2001,Cambrils,23/12/2013,,Infantil Fem,Tetratló,F
1090,Maria Falcó,2002,Cambrils,20/12/2014,,Infantil Fem,Tetratló,F
879,ANA DELGADO PIZZO,2000,Tarragona,23-12-2012,,Infantil Fem,Tetratló,F
854,Gemma Parera Bodi,2002,Cambrils,20/12/2014,,Infantil Fem,Tetratló,F
813,Sira Bo Calaf,2001,Tarragona,23-12-2012,,Infantil Fem,Tetratló,F
781,Nerea Lago Garbajosa,2000,Tarragona,23-12-2012,,Infantil Fem,Tetratló,F
731,Paula Planas Barriach,2000,Tarragona,23-12-2012,,Infantil Fem,Tetratló,F
704,Maria Falcó,2002,Cambrils,23/12/2013,,Infantil Fem,Tetratló,F
323,Laura Mascarell,2002,Cambrils,23/12/2013,,Infantil Fem,Tetratló,F
269,Berta Pardines,2002,Cambrils,23/12/2013,,Infantil Fem,Tetratló,F
1228,Mario Sánchez,2002,Cambrils,20/12/2014,,Infantil Masc,Tetratló,M
1131,Bernat Verdú,2002,Sabadell,07/03/2015,,Infantil Masc,Tetratló,M
1094,Pep Aldave Más,2002,Cambrils,20/12/2014,,Infantil Masc,Tetratló,M
884,XAVIER ROS BORRELL,1998,Cambrils,29/01/2011,,Infantil Masc,Tetratló,M
785,Alexandre Gran Badia,2002,Cambrils,20/12/2014,,Infantil Masc,Tetratló,M
722,Nil Pinyol,2003,Cambrils,20/12/2014,,Infantil Masc,Tetratló,M
700,Alfonso Martínez Gutiérrez,2000,Tarragona,23-12-2012,,Infantil Masc,Tetratló,M
684,Gerard Parera Bodi,2000,Tarragona,23-12-2012,,Infantil Masc,Tetratló,M
669,Edgar Jose,2002,Cambrils,20/12/2014,,Infantil Masc,Tetratló,M
640,Hugo Berenguel,2003,Cambrils,20/12/2014,,Infantil Masc,Tetratló,M
569,David Bondia,2002,Cambrils,23/12/2013,,Infantil Masc,Tetratló,M
567,Josep Milla Guasch,2000,Tarragona,23-12-2012,,Infantil Masc,Tetratló,M
555,Pau Nolla Ferré,2001,Tarragona,23-12-2012,,Infantil Masc,Tetratló,M
