prova,marca,nom,any,lloc,data,vent,manual,pc
Combinades_Triatlo_S12_ST,828,Kilian Borreda,2013,Sabadell,2024-03-03,,0,0
Combinades_Triatlo_S12_ST,704,Hernan Ferran Jimenez,2012,Sabadell,2023-03-12,,0,0
Combinades_Triatlo_S12_ST,541,Ferran Mascaró Navarro,2012,Tarragona,2023-01-28,,0,0
Combinades_Triatlo_S12_ST,536,Kilian Pedrol,2013,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,489,Toni Balazote,2014,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,473,Nil Torres Prats,2014,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,471,Aston Mate Gras,2012,Tarragona,2023-01-28,,0,0
Combinades_Triatlo_S12_ST,408,Eric Guijarro,2013,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,379,Pol Diaz Cristino,2014,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,362,Hugo Diaz Cristino,2012,Tarragona,2023-01-28,,0,0
Combinades_Triatlo_S12_ST,240,Nicolas Franco Teixera,2014,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,209,Ernest Gellida,2014,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,139,Biel Lligadas,2012,Tarragona,2023-01-28,,0,0
Combinades_Triatlo_S12_ST,901,Berta Barber Gonzalez,2013,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,883,Maria Martin Cuadrado,2012,Sabadell,2023-03-12,,0,0
Combinades_Triatlo_S12_ST,773,Vivian Onyemaekwu,2013,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,751,Julia Amoros Munoz,2012,Tarragona,2023-01-29,,0,0
Combinades_Triatlo_S12_ST,661,Carlota Tejero,2012,Tarragona,2023-01-29,,0,0
Combinades_Triatlo_S12_ST,542,Arlet Solana,2012,Tarragona,2023-01-29,,0,0
Combinades_Triatlo_S12_ST,518,India Martin Cuadrado,2013,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,517,Lucia Martinez Perales,2012,Tarragona,2023-01-29,,0,0
Combinades_Triatlo_S12_ST,461,Erika Margallo del Valle,2014,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,427,Ameli Torres Arbones,2014,Tarragona,2024-02-10,,0,0
Combinades_Triatlo_S12_ST,299,Alba Esteve Hostalot,2013,Tarragona,2023-01-29,,0,0
