marca,nom,any,lloc,data,vent,categoria,gender
19.49,FERRAN MASCARO NAVARRO,2012.0,Ascó,29/04/2023,,,M
17.64,Oscar Bartolomé Vazquez,2004.0,El Prat de Llobregat,16/05/2015,,,M
16.57,KILIAN PEDROL ESPINOSA,2013.0,Cambrils,27/04/2024,,,M
15.97,Jose Angel Masia Urzua,2015.0,Ascó,12/04/2025,,,M
15.90,ASTON MATÉ GRAS,2012.0,Ascó,29/04/2023,,,M
15.05,KILIAN BORREDA CERVELLO,2013.0,Cambrils,27/04/2024,,,M
14.92,Hugo Berenguel Torres,2003.0,Camp Clar,17/05/2014,,,M
13.43,JERONI FLORES PIÑAS,2009.0,El Prat de Llobregat,18/05/2019,,,M
11.94,HOUDAIFA MAJLUF,2011.0,El Prat,21/05/2022,,,M
11.60,ERIC GUIJARRO ROM,2013.0,Cambrils,27/04/2024,,,M
11.49,Jordi Abrió,2004.0,Camp Clar,22/03/2014,,,M
10.98,Pol Aixalà,2004.0,Camp Clar,17/05/2014,,,M
10.75,Nil Pinyol Mateu,2003.0,Camp Clar,16/03/2013,,,M
10.45,Olivier Casas Muiño,2015.0,Ascó,12/04/2025,,,M
10.40,Oriol Gaya Muiño,2015.0,Ascó,12/04/2025,,,M
9.79,Daniel Linares Antelo,2014.0,Ascó,12/04/2025,,,M
8.63,Nil Aixalà,2004.0,Camp Clar,17/05/2014,,,M
8.42,ERNEST GELLIDA BARRIO,2014.0,Cambrils,27/04/2024,,,M
7.47,ERIC PEREIRA ORTEGA,2000.0,Camp Clar,21/11/2009,,,M
6.27,ISMAEL LANCHARRO JURADO,1999.0,Camp Clar,21/11/2009,,,M
5.88,ANDY PEREIRA ORTEGA,2000.0,Camp Clar,21/11/2009,,,M
15.63,ALBA ESTEVE HOSALOT,2013.0,Mataró,04/05/2024,,,F
14.71,Sara Lopez Garcia,2015.0,Castellar,14/06/2025,,,F
14.20,ADA NIN NAVAS,2012.0,Ascó,22/04/2023,,,F
14.0,Carla Berenguel Torres,2002.0,Camp Clar,16/03/2013,,,F
13.90,MARIA FERRAN JIMENEZ,2011.0,Vilanova,11/06/2022,,,F
12.62,Laura Mascarell Julian,2002.0,Camp Clar,15/06/2013,,,F
12.30,BERTA BARBER GONZALEZ,2013.0,Cambrils,27/04/2024,,,F
11.60,Montserrat Marqués Cruz,2015.0,Ascó,12/04/2025,,,F
11.32,Laurine Elissa Marimón Fernández,2004.0,Camp Clar,22/03/2014,,,F
11.18,Martina Salvadó,2003.0,El Prat de Llobregat,11/05/2014,,,F
10.71,MARIA MARTIN CUADRADO,2012.0,Ascó,22/04/2023,,,F
10.36,India Martin Cuadrado,2014.0,Ascó,12/04/2025,,,F
10.18,ARLET SOLANA VILA,2012.0,Ascó,22/04/2023,,,F
9.72,Claudia Mir Casellas,2003.0,Camp Clar,17/05/2014,,,F
9.64,VIVIAN ONYEMAEKWU,2013.0,Cambrils,27/04/2024,,,F
9.39,Liana de las Heras,2004.0,Camp Clar,22/03/2014,,,F
9.28,Marina Burjalès i del Amo,2003.0,Camp Clar,22/03/2014,,,F
8.87,Marina Mir Casellas,2005.0,El Prat de Llobregat,16/05/2015,,,F
8.70,Sira Bo Calaf,2001.0,Tarragona,24/03/2012,,,F
8.54,Berta Pardines Vilalta,2002.0,Camp Clar,16/03/2013,,,F
8.39,Maria Falcó Cuenca,2002.0,Camp Clar,16/03/2013,,,F
8.20,Mar Vazquez Domingo,2002.0,Tarragona,24/03/2012,,,F
7.98,Emma Rondelaere,2004.0,Camp Clar,17/05/2014,,,F
7.86,Berta Sanchez Ruiz,2002.0,Tarragona,24/03/2012,,,F
7.69,MARIA FONT PALOMAR,2000.0,Camp Clar,21/11/2009,,,F
7.15,Lucia Mayolas,2004.0,Camp Clar,17/05/2014,,,F
7.04,Paula Garcia Jimenez,2003.0,Camp Clar,16/03/2013,,,F
