prova,marca,nom,any,lloc,data,vent,manual,pc
Triple,11.19,ALVARO MARCO CAZCARRA,1989,Reus,2004-03-20,-1.0,0,0
Triple,10.93,Gerard Parera Bodi,2000,Unknown,2015-03-08,,0,0
Triple,10.93,AGUSTI ORIOL PASANO,1989,Unknown,2004-05-30,,0,0
Triple,10.72,Javier Almale,2000,Unknown,2015-02-07,,0,0
Triple,10.53,Adolf Milla Guasch,1998,Unknown,2013-05-05,,0,0
Triple,9.93,ARNAU MIRÓ COCH,1995,Unknown,2010-04-10,-1.7,0,0
Triple,9.51,Didac Alonso,1999,Unknown,2014-04-05,+1.7,0,0
Triple,9.59,Marta Targa,2000,Unknown,2014-12-14,,0,0
Triple,9.28,Paula Rovira,2001,Unknown,2015-02-07,+0.1,0,0
Triple,8.23,Júlia Caixal,2000,Unknown,2014-05-11,+3.0,0,0
Triple,8.75,Sira Bo Calaf,2001,Unknown,2015-02-07,+0.2,0,0
Triple,8.74,Alicia Vazquez Domingo,1999,Unknown,2013-01-13,,0,0
Triple,8.91,Bernat Verdú,2002,Valls,2015-02-07,,0,0
Triple,8.89,Pep Aldave Mas,2002,Valls,2015-02-07,,0,0
Triple,8.47,ADOLF MILLA GUASCH,1998,Valls,2001-04-02,,0,0
Triple,8.15,Edgar Jose,2002,Sabadell,2015-02-14,,0,0
Triple,8.09,XAVIER ROS BORRELL,1998,Cambrils,2010-01-16,,0,0
Triple,7.88,Mario Sánchez,2002,Valls,2014-04-05,,0,0
Triple,7.83,Alexandre Gran Bondia,2002,Valls,2015-02-07,,0,0
Triple,7.70,Nil Pinyol,2003,Valls,2015-02-07,,0,0
Triple,9.30,Berta Sánchez,2002,Valls,2015-02-07,,0,0
Triple,9.16,Alicia Vazquez Domingo,1999,Prat de Llobregat,2012-05-12,,0,0
Triple,8.84,Marta Targa Garcia,2000,Valls,2012-04-28,,0,0
Triple,8.73,Paula Rovira,2001,Sabadell,2015-01-17,,0,0
Triple,8.46,Júlia Caixal i Salvador,2000,Valls,2013-04-05,,0,0
Triple,8.33,Mireia López Urbano,2000,Valls,2012-04-22,,0,0
Triple,8.20,Laura Yan Solé,2002,Unknown,0000-00-00,,0,0
Triple,8.11,Sira Bo Calaf,2001,Valls,2014-04-05,,0,0
Triple,8.09,Maria Falcó,2002,Valls,0000-00-00,,0,0
Triple,7.19,Paula Planas Barriach,2000,Camp Clar,2012-01-12,,0,0
Triple,6.97,LAURA ROYO MARTINEZ,1998,Tarragona,2011-03-19,,0,0
